iter	Passed	Remaining
400	18190	4490
401	18239	4446
402	18281	4400
403	18323	4354
404	18366	4308
405	18409	4262
406	18450	4216
407	18493	4170
408	18536	4124
409	18579	4078
410	18621	4032
411	18664	3986
412	18708	3940
413	18751	3895
414	18793	3849
415	18848	3805
416	18900	3761
417	18948	3717
418	18991	3671
419	19035	3625
420	19078	3579
421	19120	3534
422	19164	3488
423	19206	3442
424	19248	3396
425	19292	3351
426	19335	3305
427	19378	3259
428	19420	3214
429	19464	3168
430	19507	3122
431	19550	3077
432	19594	3031
433	19637	2986
434	19684	2941
435	19728	2895
436	19771	2850
437	19814	2804
438	19856	2759
439	19901	2713
440	19944	2668
441	19987	2622
442	20031	2577
443	20079	2532
444	20121	2486
445	20165	2441
446	20208	2396
447	20252	2350
448	20296	2305
449	20339	2259
450	20382	2214
451	20423	2168
452	20466	2123
453	20510	2078
454	20553	2032
455	20598	1987
456	20640	1942
457	20683	1896
458	20726	1851
459	20769	1806
460	20811	1760
461	20853	1715
462	20896	1669
463	20940	1624
464	20983	1579
465	21043	1535
466	21087	1490
467	21133	1445
468	21176	1399
469	21221	1354
470	21284	1310
471	21329	1265
472	21372	1219
473	21415	1174
474	21457	1129
475	21499	1084
476	21541	1038
477	21584	993
478	21628	948
479	21672	903
480	21714	857
481	21757	812
482	21800	767
483	21843	722
484	21886	676
485	21928	631
486	21973	586
487	22019	541
488	22061	496
489	22104	451
490	22147	405
491	22192	360
492	22236	315
493	22281	270
494	22329	225
495	22388	180
496	22441	135
497	22490	90
498	22538	45
499	22581	0
