iter	RMSE
310	3.449098531
311	3.442878388
312	3.440768954
313	3.433593469
314	3.425533685
315	3.418736354
316	3.417460724
317	3.414496542
318	3.414127121
319	3.407498134
320	3.404116913
321	3.392344415
322	3.388610406
323	3.388429183
324	3.378467501
325	3.377641083
326	3.366422228
327	3.364377357
328	3.357725667
329	3.353735913
330	3.353561123
331	3.348300833
332	3.348102368
333	3.342616547
334	3.336357409
335	3.336159755
336	3.334950704
337	3.332710248
338	3.327639587
339	3.319719358
340	3.31283815
341	3.310113313
342	3.306590272
343	3.302658607
344	3.300071615
345	3.296881201
346	3.295422239
347	3.288185533
348	3.283055588
349	3.277793833
350	3.276864263
351	3.274684969
352	3.271738561
353	3.266797039
354	3.263730175
355	3.259264842
356	3.255125068
357	3.251538303
358	3.245507259
359	3.244597477
360	3.242918037
361	3.235867887
362	3.228271447
363	3.228029578
364	3.226438894
365	3.223034006
366	3.214986736
367	3.213994239
368	3.205328741
369	3.201674236
370	3.198793712
371	3.197945125
372	3.192559408
373	3.187486315
374	3.184304239
375	3.1808321
376	3.17915892
377	3.174461434
378	3.16917911
379	3.16679561
380	3.164775278
381	3.161895589
382	3.154634815
383	3.153375766
384	3.151890121
385	3.147819043
386	3.142828998
387	3.137189402
388	3.131620665
389	3.128062579
390	3.125473906
391	3.122842694
392	3.121687603
393	3.113018509
394	3.109661339
395	3.105791384
396	3.099650749
397	3.095371276
398	3.083022435
399	3.082814205
400	3.080373231
401	3.067933658
402	3.066924634
403	3.065645686
404	3.05724884
405	3.051517697
406	3.04512
407	3.041683251
408	3.037390762
409	3.034572208
410	3.033257181
411	3.030885269
412	3.025159536
413	3.020588476
414	3.019726991
415	3.014476979
416	3.014174067
417	3.011552473
418	3.008068332
419	3.005528015
420	3.001235762
421	3.001098063
422	2.993312019
423	2.990804857
424	2.986204618
425	2.985795569
426	2.984291576
427	2.983474069
428	2.97974959
429	2.978332895
430	2.973943124
431	2.968994462
432	2.965248858
433	2.958873205
434	2.955074529
435	2.95155812
436	2.950662886
437	2.947836913
438	2.947705634
439	2.944241321
440	2.94032815
441	2.935882759
442	2.933175424
443	2.932925388
444	2.930098138
445	2.927320594
446	2.925246312
447	2.922251046
448	2.914079786
449	2.909623865
450	2.908919929
451	2.904258312
452	2.901141411
453	2.896039342
454	2.888664414
455	2.884909945
456	2.882483867
457	2.881379703
458	2.87756762
459	2.872465909
460	2.870699602
461	2.868084513
462	2.863593805
463	2.857814617
464	2.855457606
465	2.85151352
466	2.848744319
467	2.846488535
468	2.845677622
469	2.843075353
470	2.836742254
471	2.834677691
472	2.827373772
473	2.821458644
474	2.821089631
475	2.820664999
476	2.820384693
477	2.813221498
478	2.80432668
479	2.803019283
480	2.799399746
481	2.798971629
482	2.795542512
483	2.794273936
484	2.791466957
485	2.786282029
486	2.781798513
487	2.780418088
488	2.780120904
489	2.776276402
490	2.77597549
491	2.773508405
492	2.770184488
493	2.768792652
494	2.764262503
495	2.760987791
496	2.755414097
497	2.750884864
498	2.750288477
499	2.747960927
